idX,centerX,yearX,prec,flex,resl,team,pmat,rely,data,cplx,ruse,docu,time,stor,pvol,acap,pcap,pcon,apex,plex,ltex,tool,site,sced,KlocX,Effort-,Defects-,MonthsX
1,c2,1979,4,4,4,5,4,4,2,4,3,3,3,3,2,3,3,3,3,3,4,3,3,2,25.9,117.6,808,15.3
2,c2,1979, h,4,4,5,4,4,2,4,3,3,3,3,2,3,3,3,3,3,4,3,3,2,24.6,117.6,767,15
3,c2,1979,4,4,4,5,4,4,2,4,3,3,3,3,2,3,3,3,3,3,4,3,3,2,7.7,31.2,240,10.1
4,c2,1979,4,4,4,5,4,4,2,4,3,3,3,3,2,3,3,3,3,3,4,3,3,2,8.2,36,256,10.4
5,c2,1979,4,4,4,5,4,4,2,4,3,3,3,3,2,3,3,3,3,3,4,3,3,2,9.7,25.2,302,11
6,c2,1979,4,4,4,5,4,4,2,4,3,3,3,3,2,3,3,3,3,3,4,3,3,2,2.2,8.4,69,6.6
7,c2,1979,4,4,4,5,4,4,2,4,3,3,3,3,2,3,3,3,3,3,4,3,3,2,3.5,10.8,109,7.8
8,c2,1982,4,4,4,5,4,4,2,4,3,3,3,3,2,3,3,3,3,3,4,3,3,2,66.6,352.8,2077,21
9,c1,1980,4,4,4,5,4,4,2,4,3,3,6,6,2,4,4,3,4,3,4,4,3,3,7.5,72,226,13.6
10,c1,1980,4,4,4,5,3,3,2,4,3,3,3,3,2,4,5,3,5,3,4,3,3,3,20,72,566,14.4
11,c1,1984,4,4,4,5,3,3,2,4,3,3,3,3,2,4,4,3,5,3,4,3,3,3,6,24,188,9.9
12,c1,1980,4,4,4,5,3,3,2,4,3,3,3,3,2,4,5,3,5,3,4,3,3,3,100,360,2832,25.2
13,c1,1985,4,4,4,5,3,3,2,4,3,3,3,3,2,4,3,3,5,3,2,3,3,3,11.3,36,456,12.8
14,c1,1980,4,4,4,5,3,3,2,4,3,3,3,3,4,4,4,3,4,2,1,3,3,3,100,215,5434,30.1
15,c1,1983,4,4,4,5,3,3,2,4,3,3,3,3,2,4,4,3,5,3,4,3,3,3,20,48,626,15.1
16,c1,1982,4,4,4,5,3,3,2,4,3,3,3,3,2,4,3,3,3,3,1,3,3,3,100,360,4342,28
17,c1,1980,4,4,4,5,3,3,2,4,3,3,3,6,2,4,5,3,5,3,4,3,3,3,150,324,4868,32.5
18,c1,1984,4,4,4,5,3,3,2,4,3,3,3,3,2,4,4,3,4,3,4,3,3,3,31.5,60,986,17.6
19,c1,1983,4,4,4,5,3,3,2,4,3,3,3,3,2,4,4,3,5,3,4,3,3,3,15,48,470,13.6
